layer,control,n,logit_rel_percent_median,abs_target_logit_delta_median,kl_median,top1_change_rate
19,real,32,0.15843153232708573,0.0078125,2.2195006749825552e-05,0.0
19,unrelated,32,0.14205488841980696,0.0,1.1667757462419104e-05,0.03125
20,random_0,32,1.7825352028012276,0.0234375,0.0015031970106065273,0.03125
20,random_1,32,1.7825352028012276,0.0234375,0.0015031970106065273,0.03125
20,random_2,32,1.7825352028012276,0.0234375,0.0015031970106065273,0.03125
20,real,32,2.1827030926942825,0.03125,0.00924889650195837,0.03125
20,unrelated,32,2.2573377937078476,0.046875,0.0018975624116137624,0.09375
21,random_0,32,5.128000304102898,0.0625,0.0060141365975141525,0.0625
21,random_1,32,5.128000304102898,0.0625,0.0060141365975141525,0.0625
21,random_2,32,5.128000304102898,0.0625,0.0060141365975141525,0.0625
21,real,32,6.673865020275116,0.34375,0.011087480932474136,0.0625
21,unrelated,32,4.390871152281761,0.078125,0.0035598205868154764,0.0
22,random_0,32,6.555555760860443,0.1171875,0.00795659888535738,0.125
22,random_1,32,6.555555760860443,0.1171875,0.00795659888535738,0.125
22,random_2,32,6.555555760860443,0.1171875,0.00795659888535738,0.125
22,real,32,8.6766317486763,0.140625,0.014190043322741985,0.0625
22,unrelated,32,7.849168032407761,0.390625,0.016810709610581398,0.09375
23,random_0,32,0.4022173583507538,0.015625,4.380846075946465e-05,0.0
23,random_1,32,0.4022173583507538,0.015625,4.380846075946465e-05,0.0
23,random_2,32,0.4022173583507538,0.015625,4.380846075946465e-05,0.0
23,real,32,0.3107627388089895,0.015625,0.00012376505765132606,0.0625
23,unrelated,32,0.3907863050699234,0.015625,6.0778151237173006e-05,0.0625
